FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
30093,"Silver Bow County, Montana",MONTANA,22.68%,26.94%,15.37%,0.53,Moderate Vulnerability,0.28,Low Concern,56.30%,4.56%,2.03%,0.74%,0.55%,0.01%,90.44%
29151,"Osage County, Missouri",MISSOURI,14.20%,19.35%,8.46%,0.05,Very Low Vulnerability,0.6,Moderate Concern,33.60%,0.82%,0.12%,0.03%,0.18%,0%,98.50%
30063,"Missoula County, Montana",MONTANA,23.97%,28.95%,16.22%,0.18,Very Low Vulnerability,0.15,Very Low Concern,59.60%,3.27%,1.90%,1.83%,0.60%,0.07%,89.24%
29209,"Stone County, Missouri",MISSOURI,14.30%,19.78%,8.63%,0.35,Low Vulnerability,0.53,Moderate Concern,30.30%,2.31%,0.71%,0.23%,0.20%,0.09%,94.80%
30065,"Musselshell County, Montana",MONTANA,26.39%,31.31%,17.99%,0.36,Low Vulnerability,0.46,Moderate Concern,30.80%,3.08%,2.60%,0.90%,0%,0%,91.12%
30031,"Gallatin County, Montana",MONTANA,21.95%,26.23%,14.60%,0.04,Very Low Vulnerability,0.14,Very Low Concern,51%,3.73%,0.76%,1.35%,0.39%,0.01%,91.61%
29031,"Cape Girardeau County, Missouri",MISSOURI,14.34%,20.29%,8.58%,0.41,Moderate Vulnerability,0.4,Moderate Concern,39.80%,2.33%,0.05%,1.71%,7.36%,0.04%,85.95%
29177,"Ray County, Missouri",MISSOURI,14.41%,20.03%,8.58%,0.26,Low Vulnerability,0.7,High Concern,33.10%,2.47%,0.49%,0.19%,1.32%,0%,93.66%
29041,"Chariton County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.19,Very Low Vulnerability,0.59,Moderate Concern,32.40%,0.53%,0.04%,0%,2.55%,0%,94.96%
29149,"Oregon County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.49,Moderate Vulnerability,0.8,High Concern,23.40%,1.83%,1.49%,0.48%,0.15%,0.11%,94.04%
30033,"Garfield County, Montana",MONTANA,26.39%,31.31%,17.99%,0.01,Very Low Vulnerability,0.3,Low Concern,19.20%,0.10%,0%,0%,0.68%,0%,99.23%
29201,"Scott County, Missouri",MISSOURI,14.34%,20.29%,8.58%,0.78,High Vulnerability,0.64,High Concern,38.80%,2.31%,0.37%,0.41%,11.63%,0%,83.24%
30003,"Big Horn County, Montana",MONTANA,26.39%,31.31%,17.99%,0.83,Very High Vulnerability,0.72,High Concern,72.20%,6.36%,64.26%,0.09%,0.03%,0.04%,26.77%
29085,"Hickory County, Missouri",MISSOURI,15.67%,22.04%,9.48%,0.47,Moderate Vulnerability,0.67,High Concern,30.20%,1.74%,1.62%,0.27%,0.03%,0%,94.78%
29105,"Laclede County, Missouri",MISSOURI,15.67%,22.04%,9.48%,0.62,High Vulnerability,0.65,High Concern,28.60%,2.45%,0.75%,0.37%,0.58%,0.01%,93.11%
29169,"Pulaski County, Missouri",MISSOURI,15.44%,21.85%,9.40%,0.65,High Vulnerability,0.8,Very High Concern,30.40%,11.21%,0.88%,2.42%,10.66%,0.58%,69.38%
29071,"Franklin County, Missouri",MISSOURI,14.53%,19.80%,8.61%,0.15,Very Low Vulnerability,0.45,Moderate Concern,44.70%,1.74%,0.19%,0.50%,0.72%,0.01%,95.02%
30073,"Pondera County, Montana",MONTANA,26.70%,32.33%,18.24%,0.83,Very High Vulnerability,0.4,Low Concern,47.50%,2.04%,15.17%,0.10%,0.13%,0%,81.18%
29095,"Jackson County, Missouri",MISSOURI,12.94%,18.31%,7.51%,0.54,Moderate Vulnerability,0.62,High Concern,44.50%,8.98%,0.30%,1.81%,23.14%,0.31%,62.19%
29215,"Texas County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.83,Very High Vulnerability,0.94,Very High Concern,24.30%,2.12%,1.71%,0.74%,2.18%,0%,91.01%
29159,"Pettis County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.8,Very High Vulnerability,0.84,Very High Concern,36.30%,8.66%,0.09%,0.66%,3.50%,0.03%,84.92%
29225,"Webster County, Missouri",MISSOURI,14.25%,19.46%,8.55%,0.64,High Vulnerability,0.82,Very High Concern,35.30%,2.07%,0.51%,0.38%,0.91%,0.21%,94.06%
29047,"Clay County, Missouri",MISSOURI,12.62%,17.33%,7.29%,0.14,Very Low Vulnerability,0.42,Moderate Concern,43.30%,6.80%,0.35%,2.16%,5.96%,0.21%,81.12%
29135,"Moniteau County, Missouri",MISSOURI,14.20%,19.35%,8.46%,0.51,Moderate Vulnerability,0.83,Very High Concern,30.70%,4.87%,0.19%,0.06%,2.73%,0%,91.62%
30081,"Ravalli County, Montana",MONTANA,23.97%,28.95%,16.22%,0.19,Very Low Vulnerability,0.2,Very Low Concern,43.80%,3.50%,0.93%,0.53%,0.11%,0%,92.95%
30017,"Custer County, Montana",MONTANA,26.39%,31.31%,17.99%,0.29,Low Vulnerability,0.29,Low Concern,37.60%,3.42%,0.74%,0.09%,0.63%,0.17%,91.80%
30047,"Lake County, Montana",MONTANA,23.97%,28.95%,16.22%,0.65,High Vulnerability,0.37,Low Concern,53.90%,4.58%,23.13%,0.28%,0.30%,0.13%,65.04%
29183,"St. Charles County, Missouri",MISSOURI,11.07%,14.90%,6.48%,0.04,Very Low Vulnerability,0.32,Low Concern,51.90%,3.29%,0.12%,2.54%,4.39%,0.03%,87.14%
29223,"Wayne County, Missouri",MISSOURI,16.66%,23.22%,10.10%,0.76,High Vulnerability,0.93,Very High Concern,29.30%,1.80%,0.18%,0.27%,0.55%,0%,94.84%
29055,"Crawford County, Missouri",MISSOURI,13.80%,19.32%,8.31%,0.76,High Vulnerability,0.89,Very High Concern,26%,2.01%,0.04%,0.21%,0.37%,0%,95.16%
30057,"Madison County, Montana",MONTANA,22.68%,26.94%,15.37%,0.17,Very Low Vulnerability,0.23,Low Concern,39.70%,4.48%,0.20%,0.04%,0.02%,0%,92.46%
29111,"Lewis County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.45,Moderate Vulnerability,0.82,Very High Concern,30.80%,0.47%,0.77%,0%,4.21%,0.24%,92.62%
30067,"Park County, Montana",MONTANA,21.95%,26.23%,14.60%,0.07,Very Low Vulnerability,0.35,Low Concern,51.60%,3.09%,0.40%,0.31%,0.45%,0.12%,93.34%
29175,"Randolph County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.56,Moderate Vulnerability,0.67,High Concern,28.20%,2.10%,0.72%,0.64%,5.77%,0.02%,88.48%
30055,"McCone County, Montana",MONTANA,26.39%,31.31%,17.99%,0.08,Very Low Vulnerability,0.21,Low Concern,15.50%,3.74%,5.87%,1.62%,0%,0%,88.77%
30009,"Carbon County, Montana",MONTANA,21.95%,26.23%,14.60%,0.04,Very Low Vulnerability,0.1,Very Low Concern,43.40%,2.46%,1.31%,0.28%,0.41%,0%,94.26%
29033,"Carroll County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.53,Moderate Vulnerability,0.72,High Concern,44.80%,1.59%,0.20%,0.49%,1.41%,0%,94.72%
29093,"Iron County, Missouri",MISSOURI,16.66%,23.22%,10.10%,0.78,High Vulnerability,0.75,High Concern,29.80%,1.78%,0.54%,0.27%,1.11%,0.06%,94.36%
29097,"Jasper County, Missouri",MISSOURI,15.74%,21.91%,9.44%,0.66,High Vulnerability,0.69,High Concern,36.70%,8.04%,1.30%,1.13%,1.83%,0.13%,84.17%
29119,"McDonald County, Missouri",MISSOURI,14.30%,19.78%,8.63%,0.86,Very High Vulnerability,0.95,Very High Concern,20.80%,11.58%,2.64%,1.51%,1.82%,2.22%,77.27%
29157,"Perry County, Missouri",MISSOURI,16.38%,22.74%,9.85%,0.23,Low Vulnerability,0.61,High Concern,32.70%,2.29%,0.42%,1.08%,0.56%,0%,95.15%
29063,"DeKalb County, Missouri",MISSOURI,15.45%,21.42%,9.22%,0.41,Moderate Vulnerability,0.86,Very High Concern,22.40%,2.59%,0.79%,0.53%,8.94%,0.28%,83.81%
29073,"Gasconade County, Missouri",MISSOURI,13.80%,19.32%,8.31%,0.09,Very Low Vulnerability,0.49,Moderate Concern,43.80%,1.43%,0.48%,0.34%,0.41%,0%,95.91%
29117,"Livingston County, Missouri",MISSOURI,14.82%,20.59%,9%,0.37,Low Vulnerability,0.71,High Concern,38.30%,1.84%,0.56%,0.62%,2.53%,0.11%,92.36%
29147,"Nodaway County, Missouri",MISSOURI,14.82%,20.59%,9%,0.22,Low Vulnerability,0.76,High Concern,39.30%,1.73%,0.21%,1.37%,2.76%,0.13%,92.59%
30035,"Glacier County, Montana",MONTANA,24.61%,29.10%,16.69%,0.86,Very High Vulnerability,0.63,High Concern,79.40%,3.28%,64.34%,0.04%,0.28%,0.09%,29.94%
29083,"Henry County, Missouri",MISSOURI,15.76%,21.80%,9.58%,0.6,Moderate Vulnerability,0.63,High Concern,36.40%,2.46%,0.40%,0.42%,1.26%,0.01%,93.52%
29171,"Putnam County, Missouri",MISSOURI,14.82%,20.59%,9%,0.58,Moderate Vulnerability,0.78,High Concern,28.30%,0.48%,0.21%,0.13%,0.10%,0%,95.96%
29053,"Cooper County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.39,Low Vulnerability,0.75,High Concern,35.60%,1.99%,0.41%,0.40%,5.70%,0.19%,87.78%
29137,"Monroe County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.39,Low Vulnerability,0.88,Very High Concern,39.60%,1.68%,0.63%,0.48%,3.40%,0.05%,92.91%
30087,"Rosebud County, Montana",MONTANA,26.39%,31.31%,17.99%,0.61,High Vulnerability,0.59,Moderate Concern,71.20%,5.17%,36.86%,1.04%,0.17%,0%,54.83%
29127,"Marion County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.55,Moderate Vulnerability,0.6,Moderate Concern,38%,1.78%,0.43%,0.65%,3.74%,0.11%,90.04%
29203,"Shannon County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.64,High Vulnerability,0.86,Very High Concern,21.30%,1.87%,0.17%,0%,0.17%,0%,93.87%
30025,"Fallon County, Montana",MONTANA,26.39%,31.31%,17.99%,0.02,Very Low Vulnerability,0.29,Low Concern,31.30%,1.99%,0.10%,1.75%,0.03%,0%,94.35%
29189,"St. Louis County, Missouri",MISSOURI,10.67%,15.18%,6.16%,0.26,Low Vulnerability,0.33,Low Concern,49.60%,2.89%,0.13%,4.29%,24.09%,0.03%,66.04%
29181,"Ripley County, Missouri",MISSOURI,16.66%,23.22%,10.10%,0.71,High Vulnerability,0.92,Very High Concern,22.60%,1.45%,0.62%,0.40%,0.69%,0.22%,95.05%
29043,"Christian County, Missouri",MISSOURI,14.25%,19.46%,8.55%,0.15,Very Low Vulnerability,0.45,Moderate Concern,36.80%,2.95%,0.30%,0.57%,0.69%,0%,93.34%
29107,"Lafayette County, Missouri",MISSOURI,14.41%,20.03%,8.58%,0.39,Low Vulnerability,0.59,Moderate Concern,39.70%,2.89%,0.24%,0.53%,2.20%,0.23%,91.97%
29227,"Worth County, Missouri",MISSOURI,14.82%,20.59%,9%,0.22,Low Vulnerability,0.48,Moderate Concern,36.10%,1.53%,0.05%,0.15%,0.54%,0%,96.40%
30005,"Blaine County, Montana",MONTANA,26.70%,32.33%,18.24%,0.92,Very High Vulnerability,0.66,High Concern,75.80%,3.54%,50.04%,0.10%,0.40%,0%,44.56%
30079,"Prairie County, Montana",MONTANA,26.39%,31.31%,17.99%,0.08,Very Low Vulnerability,0.2,Very Low Concern,35.80%,1.28%,0.16%,0.80%,0%,0%,97.76%
29213,"Taney County, Missouri",MISSOURI,14.30%,19.78%,8.63%,0.82,Very High Vulnerability,0.63,High Concern,30.30%,5.92%,0.99%,0.99%,1.38%,0.02%,88.79%
29161,"Phelps County, Missouri",MISSOURI,13.80%,19.32%,8.31%,0.66,High Vulnerability,0.69,High Concern,36%,2.55%,0.69%,3.61%,2.22%,0%,88.73%
30015,"Chouteau County, Montana",MONTANA,26.70%,32.33%,18.24%,0.48,Moderate Vulnerability,0.54,Moderate Concern,28.40%,2.63%,18.27%,0.56%,0.24%,0.03%,76.92%
30059,"Meagher County, Montana",MONTANA,26.70%,32.33%,18.24%,0.05,Very Low Vulnerability,0.27,Low Concern,47.60%,4.66%,1.38%,0.16%,0.05%,0%,92.64%
30069,"Petroleum County, Montana",MONTANA,26.70%,32.33%,18.24%,0,Very Low Vulnerability,0.38,Low Concern,30.40%,0%,0%,5.52%,0%,0%,94.48%
29035,"Carter County, Missouri",MISSOURI,16.66%,23.22%,10.10%,0.75,High Vulnerability,0.89,Very High Concern,25.50%,2.57%,0.11%,0%,0.07%,0%,96.19%
29187,"St. Francois County, Missouri",MISSOURI,16.38%,22.74%,9.85%,0.7,High Vulnerability,0.61,High Concern,34%,1.57%,0.33%,0.52%,4.39%,0.02%,91.77%
29099,"Jefferson County, Missouri",MISSOURI,14.35%,19.55%,8.49%,0.19,Very Low Vulnerability,0.48,Moderate Concern,34.50%,1.96%,0.25%,0.81%,0.94%,0.01%,94.41%
30023,"Deer Lodge County, Montana",MONTANA,22.68%,26.94%,15.37%,0.47,Moderate Vulnerability,0.36,Low Concern,49.70%,3.46%,1.86%,0.76%,0.75%,0%,90.12%
30045,"Judith Basin County, Montana",MONTANA,26.70%,32.33%,18.24%,0.02,Very Low Vulnerability,0.34,Low Concern,35.60%,3.58%,1.54%,0%,0%,0%,92.68%
30089,"Sanders County, Montana",MONTANA,23.97%,28.95%,16.22%,0.35,Low Vulnerability,0.49,Moderate Concern,35.40%,3.01%,3.36%,0.42%,0.31%,0.01%,90.11%
29125,"Maries County, Missouri",MISSOURI,13.80%,19.32%,8.31%,0.51,Moderate Vulnerability,0.93,Very High Concern,30.70%,1.28%,1.02%,1.03%,0.30%,0%,95.46%
29155,"Pemiscot County, Missouri",MISSOURI,16.75%,24.08%,10.18%,0.93,Very High Vulnerability,0.89,Very High Concern,21.20%,2.61%,0%,0%,27.17%,0.01%,68.52%
29065,"Dent County, Missouri",MISSOURI,13.80%,19.32%,8.31%,0.63,High Vulnerability,0.86,Very High Concern,24.30%,1.76%,0.64%,0.25%,0.41%,0%,94.31%
29221,"Washington County, Missouri",MISSOURI,16.38%,22.74%,9.85%,0.79,High Vulnerability,0.86,Very High Concern,25.40%,1.39%,0.11%,0.21%,2.13%,0.29%,94.24%
29129,"Mercer County, Missouri",MISSOURI,14.82%,20.59%,9%,0.3,Low Vulnerability,0.76,High Concern,30.50%,2.31%,0%,0.47%,0.55%,0%,95.75%
29163,"Pike County, Missouri",MISSOURI,15.39%,21.12%,9.23%,0.54,Moderate Vulnerability,0.88,Very High Concern,31.90%,2.25%,0.30%,0.35%,7.25%,0.08%,88.06%
29061,"Daviess County, Missouri",MISSOURI,14.82%,20.59%,9%,0.47,Moderate Vulnerability,0.84,Very High Concern,27.90%,1.57%,0.55%,0.18%,0.60%,0.11%,95.93%
30053,"Lincoln County, Montana",MONTANA,24.61%,29.10%,16.69%,0.42,Moderate Vulnerability,0.35,Low Concern,30.20%,3.13%,1.24%,0.40%,0.20%,0.24%,92.62%
29091,"Howell County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.67,High Vulnerability,0.67,High Concern,21.50%,2.13%,1.17%,0.65%,0.22%,0%,94.28%
29051,"Cole County, Missouri",MISSOURI,14.20%,19.35%,8.46%,0.26,Low Vulnerability,0.45,Moderate Concern,46.20%,2.84%,0.35%,1.53%,11.66%,0.01%,81.60%
29173,"Ralls County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.1,Very Low Vulnerability,0.6,High Concern,25%,1.25%,0.56%,0.58%,1.25%,0%,95.46%
30085,"Roosevelt County, Montana",MONTANA,26.39%,31.31%,17.99%,0.89,Very High Vulnerability,0.76,High Concern,51.40%,3.96%,56.11%,0.60%,0.21%,0%,34.35%
29115,"Linn County, Missouri",MISSOURI,14.82%,20.59%,9%,0.27,Low Vulnerability,0.65,High Concern,39.60%,2.42%,0.26%,0.35%,0.47%,0.07%,94.82%
29229,"Wright County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.9,Very High Vulnerability,0.86,Very High Concern,27.80%,1.89%,0.34%,0.25%,0.53%,0.15%,95%
29205,"Shelby County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.4,Low Vulnerability,0.7,High Concern,43.40%,1.71%,0.22%,0.27%,1.61%,0%,95.21%
30007,"Broadwater County, Montana",MONTANA,22.68%,26.94%,15.37%,0.04,Very Low Vulnerability,0.2,Low Concern,28.50%,2.79%,0.39%,0%,0.08%,0%,94.40%
29109,"Lawrence County, Missouri",MISSOURI,15.76%,21.80%,9.58%,0.79,High Vulnerability,0.83,Very High Concern,29.20%,7.45%,0.82%,0.04%,0.48%,0.16%,89.10%
29081,"Harrison County, Missouri",MISSOURI,14.82%,20.59%,9%,0.74,High Vulnerability,0.76,High Concern,30.90%,2.30%,0.67%,0.20%,0.52%,0.04%,95.14%
29139,"Montgomery County, Missouri",MISSOURI,15.39%,21.12%,9.23%,0.53,Moderate Vulnerability,0.73,High Concern,40.60%,1.96%,0.03%,0.25%,1.43%,0.06%,94.05%
30027,"Fergus County, Montana",MONTANA,26.70%,32.33%,18.24%,0.24,Low Vulnerability,0.24,Low Concern,40.40%,0.93%,1.39%,0.59%,0.13%,1.86%,94.06%
30077,"Powell County, Montana",MONTANA,22.68%,26.94%,15.37%,0.25,Low Vulnerability,0.41,Moderate Concern,37.60%,1.74%,4.49%,0.38%,0.93%,0%,89.38%
29075,"Gentry County, Missouri",MISSOURI,14.82%,20.59%,9%,0.44,Moderate Vulnerability,0.65,High Concern,39.70%,1.62%,0.29%,0.54%,0.59%,0.06%,95.95%
29045,"Clark County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.34,Low Vulnerability,0.8,High Concern,24.40%,0.60%,0.27%,1.02%,0.31%,0%,96.92%
29179,"Reynolds County, Missouri",MISSOURI,16.66%,23.22%,10.10%,0.56,Moderate Vulnerability,0.76,High Concern,17.30%,0.79%,0.35%,0.30%,2.03%,0.21%,93.74%
30037,"Golden Valley County, Montana",MONTANA,26.39%,31.31%,17.99%,0.05,Very Low Vulnerability,0.45,Moderate Concern,41.60%,6.73%,0%,0%,0%,0%,89.56%
29145,"Newton County, Missouri",MISSOURI,15.74%,21.91%,9.44%,0.43,Moderate Vulnerability,0.67,High Concern,19.70%,5.32%,2.33%,1.43%,0.87%,0.99%,86.11%
29195,"Saline County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.82,Very High Vulnerability,0.76,High Concern,40.40%,10.19%,0.25%,0.81%,4.79%,1.06%,80.27%
29101,"Johnson County, Missouri",MISSOURI,14.41%,20.03%,8.58%,0.35,Low Vulnerability,0.7,High Concern,31.30%,4.39%,0.40%,1.68%,4.28%,0.29%,85.76%
30091,"Sheridan County, Montana",MONTANA,26.39%,31.31%,17.99%,0.09,Very Low Vulnerability,0.17,Very Low Concern,45.30%,3.79%,1.03%,0.26%,0%,0%,91.07%
29089,"Howard County, Missouri",MISSOURI,15.12%,21.10%,9.03%,0.4,Moderate Vulnerability,0.59,Moderate Concern,37.70%,1.57%,0.83%,0.36%,5.83%,0%,90.55%
29131,"Miller County, Missouri",MISSOURI,15.44%,21.85%,9.40%,0.5,Moderate Vulnerability,0.6,High Concern,25.80%,1.94%,1.24%,0.48%,0.25%,0%,94.83%
29067,"Douglas County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.52,Moderate Vulnerability,0.74,High Concern,17.80%,0.86%,0.50%,0.08%,0.23%,0%,98%
30013,"Cascade County, Montana",MONTANA,26.70%,32.33%,18.24%,0.41,Moderate Vulnerability,0.33,Low Concern,47.20%,4.51%,4.17%,0.68%,1.29%,0.08%,85.22%
29037,"Cass County, Missouri",MISSOURI,14.25%,19.41%,8.45%,0.12,Very Low Vulnerability,0.47,Moderate Concern,41.90%,4.38%,0.50%,0.77%,3.98%,0.13%,87.97%
30051,"Liberty County, Montana",MONTANA,26.70%,32.33%,18.24%,0.41,Moderate Vulnerability,0.54,Moderate Concern,32%,1.23%,0%,0%,0%,0%,98.30%
30071,"Phillips County, Montana",MONTANA,26.39%,31.31%,17.99%,0.41,Moderate Vulnerability,0.35,Low Concern,39.20%,2.80%,9.20%,0.29%,0%,0%,83.81%
29186,"Ste. Genevieve County, Missouri",MISSOURI,16.38%,22.74%,9.85%,0.19,Very Low Vulnerability,0.67,High Concern,38.70%,1.18%,0%,0.57%,1.96%,0%,95.66%
29219,"Warren County, Missouri",MISSOURI,15.39%,21.12%,9.23%,0.38,Low Vulnerability,0.53,Moderate Concern,35.90%,3.40%,0.30%,0.50%,2%,0.05%,91.67%
30061,"Mineral County, Montana",MONTANA,23.97%,28.95%,16.22%,0.56,Moderate Vulnerability,0.35,Low Concern,46.80%,1.32%,2.68%,0.85%,0.80%,0%,91.41%
29123,"Madison County, Missouri",MISSOURI,16.66%,23.22%,10.10%,0.48,Moderate Vulnerability,0.84,Very High Concern,29.70%,2.36%,0.21%,0.57%,0.76%,0%,94.64%
29059,"Dallas County, Missouri",MISSOURI,15.67%,22.04%,9.48%,0.7,High Vulnerability,0.89,Very High Concern,26.80%,2.09%,1.24%,0.55%,0.03%,0%,94.56%
29165,"Platte County, Missouri",MISSOURI,12.28%,16.60%,7.22%,0.1,Very Low Vulnerability,0.31,Low Concern,45.80%,6.04%,0.12%,2.70%,6.69%,0.44%,81.01%
29153,"Ozark County, Missouri",MISSOURI,16.46%,22.88%,10.06%,0.58,Moderate Vulnerability,0.83,Very High Concern,22%,1.80%,0.91%,0.51%,0.07%,0%,95.29%
29211,"Sullivan County, Missouri",MISSOURI,14.82%,20.59%,9%,0.63,High Vulnerability,0.8,Very High Concern,35.60%,18.30%,1.31%,0.10%,2.27%,0.14%,76.79%
30021,"Dawson County, Montana",MONTANA,26.39%,31.31%,17.99%,0.08,Very Low Vulnerability,0.21,Low Concern,35.80%,3.12%,2.30%,0.24%,0.78%,0%,92.26%
30043,"Jefferson County, Montana",MONTANA,22.68%,26.94%,15.37%,0.05,Very Low Vulnerability,0.11,Very Low Concern,44.30%,2.56%,1.05%,0.05%,0.38%,0%,92.66%
29197,"Schuyler County, Missouri",MISSOURI,14.64%,20.59%,8.78%,0.38,Low Vulnerability,0.74,High Concern,24.40%,1.67%,0%,0.26%,0.46%,0%,96.90%
29510,"St. Louis city, Missouri",MISSOURI,12.09%,18.18%,6.97%,0.78,High Vulnerability,0.78,High Concern,41.60%,4.02%,0.20%,3.34%,46.23%,0.05%,43.64%
42133,"York County, Pennsylvania",PENNSYLVANIA,11.25%,15.66%,7.38%,0.33,Low Vulnerability,0.1,Very Low Concern,51.10%,7.46%,0.15%,1.49%,5.37%,0.04%,83.42%
46037,"Day County, South Dakota",SOUTH DAKOTA,10.18%,14.85%,7.47%,0.18,Very Low Vulnerability,0.35,Low Concern,51.10%,2.26%,9.93%,0.13%,0%,0%,85.93%
45053,"Jasper County, South Carolina",SOUTH CAROLINA,12.13%,18.58%,6.79%,0.94,Very High Vulnerability,0.82,Very High Concern,24.50%,13.44%,0.16%,0.42%,41.56%,0%,42.79%
41067,"Washington County, Oregon",OREGON,8.62%,10.70%,6.39%,0.32,Low Vulnerability,0.45,Moderate Concern,63.70%,16.66%,0.26%,10.53%,1.95%,0.41%,65.73%
45027,"Clarendon County, South Carolina",SOUTH CAROLINA,15.24%,24.46%,8.63%,0.98,Very High Vulnerability,0.81,Very High Concern,36.80%,3.10%,0.09%,0.59%,47.23%,0%,47.72%
45081,"Saluda County, South Carolina",SOUTH CAROLINA,15.12%,22.63%,8.62%,0.79,High Vulnerability,0.76,High Concern,25.10%,15.45%,0.10%,0%,24.93%,0%,58.27%
42005,"Armstrong County, Pennsylvania",PENNSYLVANIA,12.57%,17.77%,8.40%,0.25,Low Vulnerability,0.24,Low Concern,52.80%,0.77%,0.04%,0.31%,0.83%,0%,97.08%
45091,"York County, South Carolina",SOUTH CAROLINA,13.16%,19.85%,7.27%,0.37,Low Vulnerability,0.41,Moderate Concern,35.30%,5.51%,0.74%,2.11%,19.13%,0.03%,70.48%
42015,"Bradford County, Pennsylvania",PENNSYLVANIA,12.35%,17.33%,8.18%,0.35,Low Vulnerability,0.16,Very Low Concern,36.90%,1.48%,0.05%,0.72%,0.51%,0.16%,95.69%
42107,"Schuylkill County, Pennsylvania",PENNSYLVANIA,12.44%,17.56%,8.19%,0.45,Moderate Vulnerability,0.24,Low Concern,52.20%,4.40%,0.13%,0.48%,2.90%,0.01%,91%
46045,"Edmunds County, South Dakota",SOUTH DAKOTA,10.18%,14.85%,7.47%,0.03,Very Low Vulnerability,0.04,Very Low Concern,33.30%,2.46%,0.77%,0.05%,0.18%,0%,96.09%
42079,"Luzerne County, Pennsylvania",PENNSYLVANIA,11.70%,16.73%,7.60%,0.61,High Vulnerability,0.19,Very Low Concern,53.50%,11.90%,0.13%,1.21%,3.72%,0.02%,81.53%
42043,"Dauphin County, Pennsylvania",PENNSYLVANIA,10.52%,15.28%,6.91%,0.5,Moderate Vulnerability,0.12,Very Low Concern,54.20%,9.24%,0.13%,4.37%,18.03%,0%,65.75%
42069,"Lackawanna County, Pennsylvania",PENNSYLVANIA,11.52%,16.68%,7.55%,0.53,Moderate Vulnerability,0.11,Very Low Concern,63.90%,7.52%,0.03%,2.80%,2.58%,0.04%,85.20%
42045,"Delaware County, Pennsylvania",PENNSYLVANIA,9.93%,14.17%,6.50%,0.41,Moderate Vulnerability,0.06,Very Low Concern,62.60%,3.80%,0.12%,5.68%,21.10%,0.01%,66.81%
42099,"Perry County, Pennsylvania",PENNSYLVANIA,12.16%,17.02%,8.16%,0.11,Very Low Vulnerability,0.21,Low Concern,42.70%,2.04%,0.20%,0.35%,0.92%,0%,95.32%
42023,"Cameron County, Pennsylvania",PENNSYLVANIA,12.96%,18.25%,8.60%,0.3,Low Vulnerability,0.3,Low Concern,54.20%,1.11%,0.04%,0.85%,0.04%,0%,95.73%
45071,"Newberry County, South Carolina",SOUTH CAROLINA,15.16%,23.74%,8.59%,0.92,Very High Vulnerability,0.67,High Concern,41.60%,7.47%,0.35%,0.24%,31.05%,0%,59.91%
46011,"Brookings County, South Dakota",SOUTH DAKOTA,10.18%,14.63%,7.53%,0.16,Very Low Vulnerability,0.3,Low Concern,40.20%,3.07%,1.04%,3.01%,1.31%,0%,90.23%
42035,"Clinton County, Pennsylvania",PENNSYLVANIA,12.52%,17.79%,8.33%,0.49,Moderate Vulnerability,0.39,Low Concern,38.10%,1.52%,0.12%,0.83%,1.75%,0.01%,95.17%
42087,"Mifflin County, Pennsylvania",PENNSYLVANIA,13.56%,18.97%,9.25%,0.47,Moderate Vulnerability,0.45,Moderate Concern,45.60%,1.56%,0.20%,0.33%,0.52%,0.01%,95.88%
45037,"Edgefield County, South Carolina",SOUTH CAROLINA,14.67%,22.60%,8.24%,0.85,Very High Vulnerability,0.75,High Concern,45.30%,5.96%,0.29%,0.19%,35.07%,0.04%,56.69%
42109,"Snyder County, Pennsylvania",PENNSYLVANIA,13.56%,18.97%,9.25%,0.23,Low Vulnerability,0.37,Low Concern,38.70%,2.14%,0.07%,0.68%,0.92%,0%,95.08%
45007,"Anderson County, South Carolina",SOUTH CAROLINA,14.63%,22.28%,8.23%,0.7,High Vulnerability,0.53,Moderate Concern,33.90%,3.75%,0.16%,0.93%,15.58%,0.03%,77.35%
